Running on: cuda:2

Optimizer       | Best Iters   | Best Loss    | Best Params
--------------------------------------------------------------------------------
Starting Grid Search for Muon (160 configs)...
lr: 8.999999999999999e-05, mom: 0.2, Iters: 5000, Loss: 0.005098
lr: 8.999999999999999e-05, mom: 0.3, Iters: 5000, Loss: 0.002661
lr: 8.999999999999999e-05, mom: 0.4, Iters: 5000, Loss: 0.001284
lr: 8.999999999999999e-05, mom: 0.5, Iters: 4471, Loss: 0.000999
  [New Best] lr: 8.999999999999999e-05, mom: 0.5, Iters: 4471, Loss: 0.000999
lr: 8.999999999999999e-05, mom: 0.6, Iters: 4297, Loss: 0.000998
  [New Best] lr: 8.999999999999999e-05, mom: 0.6, Iters: 4297, Loss: 0.000998
lr: 8.999999999999999e-05, mom: 0.7, Iters: 4220, Loss: 0.001000
  [New Best] lr: 8.999999999999999e-05, mom: 0.7, Iters: 4220, Loss: 0.001000
lr: 8.999999999999999e-05, mom: 0.8, Iters: 4145, Loss: 0.000999
  [New Best] lr: 8.999999999999999e-05, mom: 0.8, Iters: 4145, Loss: 0.000999
lr: 8.999999999999999e-05, mom: 0.9, Iters: 4098, Loss: 0.000998
  [New Best] lr: 8.999999999999999e-05, mom: 0.9, Iters: 4098, Loss: 0.000998
lr: 8.999999999999999e-05, mom: 0.95, Iters: 4129, Loss: 0.001000
lr: 9.999999999999999e-05, mom: 0.1, Iters: 5000, Loss: 0.009629
lr: 9.999999999999999e-05, mom: 0.2, Iters: 5000, Loss: 0.005445
lr: 9.999999999999999e-05, mom: 0.3, Iters: 5000, Loss: 0.002719
lr: 9.999999999999999e-05, mom: 0.4, Iters: 5000, Loss: 0.001220
lr: 9.999999999999999e-05, mom: 0.5, Iters: 4159, Loss: 0.001000
lr: 9.999999999999999e-05, mom: 0.6, Iters: 3961, Loss: 0.000997
  [New Best] lr: 9.999999999999999e-05, mom: 0.6, Iters: 3961, Loss: 0.000997
lr: 9.999999999999999e-05, mom: 0.7, Iters: 3882, Loss: 0.000998
  [New Best] lr: 9.999999999999999e-05, mom: 0.7, Iters: 3882, Loss: 0.000998
